source,target,relation,trade_volume_usd_m
N0047,N0031,sources_from,10.37
N0048,N0080,sources_from,8.04
N0049,N0061,sources_from,33.64
N0050,N0027,sources_from,13.18
N0050,N0060,sources_from,18.76
N0050,N0090,sources_from,30.49
N0051,N0092,sources_from,41.06
N0051,N0014,sources_from,48.25
N0051,N0100,sources_from,5.85
N0052,N0119,sources_from,15.94
N0053,N0117,sources_from,47.1
N0053,N0048,sources_from,10.32
N0053,N0050,sources_from,29.81
N0054,N0031,sources_from,38.74
N0054,N0013,sources_from,42.59
N0054,N0090,sources_from,30.22
N0055,N0102,sources_from,49.2
N0056,N0044,sources_from,26.87
N0057,N0047,sources_from,32.55
N0057,N0008,sources_from,1.13
N0057,N0065,sources_from,21.29
N0058,N0013,sources_from,48.06
N0058,N0055,sources_from,31.96
N0059,N0091,sources_from,22.06
N0059,N0019,sources_from,36.82
N0060,N0034,sources_from,46.02
N0060,N0079,sources_from,38.84
N0060,N0104,sources_from,23.51
N0061,N0076,sources_from,42.66
N0061,N0034,sources_from,41.62
N0061,N0041,sources_from,4.79
N0062,N0031,sources_from,23.5
N0062,N0097,sources_from,30.71
N0063,N0043,sources_from,24.97
N0063,N0003,sources_from,16.59
N0064,N0027,sources_from,39.99
N0064,N0045,sources_from,17.35
N0065,N0090,sources_from,28.01
N0065,N0113,sources_from,26.07
N0065,N0035,sources_from,9.96
N0066,N0093,sources_from,20.62
N0067,N0098,sources_from,24.07
N0067,N0030,sources_from,35.74
N0067,N0089,sources_from,22.68
N0068,N0011,sources_from,15.06
N0069,N0089,sources_from,15.66
N0069,N0031,sources_from,29.29
N0070,N0071,sources_from,17.52
N0070,N0067,sources_from,49.83
N0071,N0042,sources_from,22.96
N0071,N0045,sources_from,15.68
N0071,N0090,sources_from,11.91
N0072,N0024,sources_from,37.27
N0072,N0040,sources_from,47.57
N0072,N0015,sources_from,34.66
N0073,N0027,sources_from,37.06
N0074,N0093,sources_from,48.84
N0074,N0076,sources_from,26.47
N0075,N0012,sources_from,10.11
N0075,N0107,sources_from,11.76
N0076,N0038,sources_from,1.2
N0077,N0016,sources_from,48.73
N0077,N0035,sources_from,27.89
N0077,N0005,sources_from,35.02
N0078,N0082,sources_from,43.49
N0079,N0013,sources_from,1.11
N0079,N0112,sources_from,14.57
N0080,N0056,sources_from,9.63
N0080,N0043,sources_from,3.04
N0081,N0014,sources_from,3.73
N0081,N0106,sources_from,24.84
N0082,N0080,sources_from,8.01
N0082,N0088,sources_from,40.65
N0082,N0006,sources_from,47.48
N0083,N0031,sources_from,6.36
N0084,N0077,sources_from,39.64
N0084,N0076,sources_from,11.67
N0085,N0048,sources_from,22.41
N0085,N0057,sources_from,43.08
N0085,N0117,sources_from,49.51
N0086,N0072,sources_from,3.48
N0086,N0079,sources_from,48.03
N0087,N0098,sources_from,10.79
N0088,N0033,sources_from,33.19
N0089,N0030,sources_from,9.1
N0090,N0020,sources_from,0.63
N0091,N0088,sources_from,23.76
N0091,N0076,sources_from,2.12
N0092,N0090,sources_from,35.3
N0092,N0036,sources_from,22.97
N0093,N0029,sources_from,39.5
N0093,N0119,sources_from,31.44
N0093,N0033,sources_from,33.23
N0094,N0054,sources_from,6.18
N0095,N0082,sources_from,7.87
N0096,N0106,sources_from,4.03
N0096,N0018,sources_from,8.71
N0097,N0076,sources_from,41.3
N0097,N0095,sources_from,46.1
N0098,N0015,sources_from,34.59
N0098,N0059,sources_from,35.14
N0099,N0064,sources_from,24.94
N0099,N0069,sources_from,4.48
N0100,N0114,sources_from,21.89
N0101,N0077,sources_from,1.78
N0101,N0032,sources_from,11.83
N0102,N0108,sources_from,29.56
N0102,N0111,sources_from,1.53
N0102,N0073,sources_from,38.36
N0103,N0073,sources_from,38.27
N0103,N0005,sources_from,9.17
N0104,N0083,sources_from,14.27
N0104,N0056,sources_from,49.85
N0104,N0118,sources_from,22.08
N0105,N0011,sources_from,17.72
N0105,N0060,sources_from,17.0
N0106,N0013,sources_from,16.83
N0106,N0110,sources_from,34.84
N0106,N0020,sources_from,14.77
N0107,N0104,sources_from,27.73
N0107,N0097,sources_from,23.01
N0108,N0032,sources_from,6.24
N0108,N0041,sources_from,38.74
N0109,N0105,sources_from,43.53
N0109,N0000,sources_from,23.37
N0109,N0084,sources_from,3.18
N0110,N0046,sources_from,25.18
N0110,N0079,sources_from,22.38
N0110,N0096,sources_from,3.05
N0111,N0070,sources_from,46.42
N0111,N0016,sources_from,22.19
N0112,N0062,sources_from,48.67
N0112,N0015,sources_from,30.64
N0112,N0003,sources_from,12.35
N0113,N0039,sources_from,27.77
N0114,N0052,sources_from,49.62
N0114,N0011,sources_from,45.69
N0114,N0028,sources_from,23.34
N0115,N0082,sources_from,41.69
N0116,N0091,sources_from,25.69
N0116,N0037,sources_from,14.03
N0117,N0060,sources_from,23.11
N0117,N0031,sources_from,7.66
N0118,N0117,sources_from,30.17
N0119,N0112,sources_from,3.96
N0119,N0017,sources_from,38.75
N0119,N0110,sources_from,42.79
